ＥＲＲＯＲ：本文がありません！	ERROR: No message body!
その本はおもしろい、それにまたためになる。	This book is interesting, also instructive.
その本はおもしろかったですか。	Was the book interesting?
その本はイギリスでベスト・セラーだそうだ。	It is said that the book is a bestseller in Britain.
その本のすべてがためになるわけではない。	Not all of the books are instructive.
その本のカバーにはインクのしみがいくつかあった。	There were some ink spots on the book jacket.
その本のうちどちらもおもしろいわけではない。	Neither of those books is interesting.
その日はやってくるであろう。	That day shall come.
その日はだめなんだ。	That's a bad day for me.
その子をからかってはいけない。	Don't make fun of that child.
その子はまだみつかっていない。	The boy is yet to be found.
その犬は白いです。	The dog is white.
その犬はジョンというなまえです。	The dog answers to the name John.
その犬はかみついたりしませんよ。	The dog will not harm you.
その犬にエサをやらないで！	Don't feed the dog.
そのレストランは右手にありますよ。	You will find the restaurant on your right.
そのバケツは水でいっぱいだった。	The bucket was full of water.
そのダムには水がたくさんありますか。	Is there much water in the dam?
そのエッセイの中にはたいへんおもしろいものもあります。	Some of the essays are very interesting.
そのいすは木でできている。	The chairs are made of wood.
そっちがその手でくるならこっちにも手がある。	Two can play at that game.
そう水くさくするな。	Don't be so reserved.
そうすれば目にみえるものならなんだって。	Well you can indicate everything you see.
セシルはろうそくに火をつけた。	Cecil lit a candle.
すばらしい日ですね。	It's a nice day, isn't it?
スーザンはその子犬がどこからきたのかわかった。	Susan found out where the puppy had come from.
シャロンはやり手にちがいない。	Sharon must be a go-getter.
しかしこの本をしまっておきなさい。	However, please put this book away first.
さようなら、さよ子。	Goodbye, Sayoko.
これらの本をどうやって手にいれたのですか。	How did you come by these books?
これらの本はだれのですか。	Whose books are these?
これらの本はあれらの本よりやさしい。	These books are easier than those books.
これより小さいのはないのですか。	Don't you have anything smaller than this?
これよりも小さいのはないですか。	Don't you have anything smaller than this?
これよりも１サイズ小さいものをしちゃくしたいのですが？	I'd like to try on one size smaller than this.
これは木のくしです。	This is a wooden comb.
これは本です。	This is a book.
これは日本円で五千円です。	This is five thousand yen in the Japanese Yen.
これは日本です。	This is Japan.
これは小さい本です。	This is a small book.
これは犬です。	This is a dog.
これはメアリーの犬です。	This is Mary's dog.
これはトニーの本です。	This is Tony's book.
これはとても小さい本です。	This is a very small book.
これはとってもおもしろい本です。	This is a very interesting book.
これはあれよりも小さい。	This is smaller than that.
これはあなたの本ですか。	Is this your book?
これはあなたの本です。	This is your book.
これがいわゆる「天ぷら」というものです。	This is what we call "tempura".
これがあなたのさがしている本でしょう。	This will be the book you are looking for.
これ、あなたの本なの、マイク？	Is this your book, Mike?
この木にしっかりつかまりなさい。	Hold fast to this tree.
この本をいただいてもいいですか。	May I have this book?
この本をあなたにあげましょう。	I will give you this book.
この本は小さい。	This book is small.
この本はとても小さい。	This book is very small.
この本はたいへんおもしろい。	This book is very interesting.
この本はきみのだよ。	This book is yours.
この本はおもしろくもあり、またためにもなる。	This book is at once interesting and instructive.
この本はおもしろいだけでなく、ためにもなる。	This book is not only interesting but also instructive.
この本はいりますか。	Do you need this book?
この本はあの本よりも小さい。	This book is smaller than that one.
この本はあの本ほどやさしくない。	This book is not as easy as that one.
この本はあの本ほどおもしろくない。	This book isn't as interesting as that book.
この本はあなたのですか。	Does this book belong to you?
この本にサインしてもらえませんか。	Could I have your autograph on this book?
この本とてもおもしろかったわ。	I enjoyed this book so much!
この本とあの本とどっちがやさしい？	Which is easier to read, this book or that one?
この本とあの本では、どちらがやさしいですか。	Which is easier, this book or that book?
この本です。	It's this book.
この本でいいよ。	This book will do.
この本がなくてはやっていけない。	I cannot do without this book.
この本がいただきたいのですが。	I would like this book.
この犬はなんてかしこいんだろう。	How clever this dog is!
このロープは１メートル２００円です。	This rope is 200 yen a meter.
このライターは火がつかない。	This lighter won't catch.
このモールの中にスーパーマーケットはありますか。	Is there a supermarket in this mall?
このボートは６本オールだ。	This boat has six oars.
コップは水でいっぱいだ。	The glass is full of water.
コップにはほとんど水がありません。	There is little water in the glass.
ここに本がある。	Here is a book.
ここに手のないナベがある。	Here is a pan without handles.
こうするほかに手はなかったんだ。	What else could I have done?
ケンがろうそくに火をつけた。	Ken lighted the candles.
ケリーがテレビに出るよ。	Kelly will appear on TV.
クリスマスは１２月２５日です。	Christmas Day is December 25th.
ガラスに手をふれるな。	Don't touch the glass.
かごの中にりんごがいくらかあります。	There are some apples in the basket.
かごの中にはほとんどリンゴがない。	There are few apples in the basket.
カーテンに火がついた。	The curtain caught fire.
お目にかかれてほんとにうれしいわ。	I am charmed to see you.
お目にかかれてとてもうれしいです。	I'm very glad to see you.
お目にかかってたいへんうれしい。	I'm very pleased to meet you.
お水をください。	Can I have some water, please?
お水をいただけますか。	Could I get some water, please?
お水だけでけっこうです。	Just water, please.
お子さんたちはおいくつですか。	How old are your children?
お子さんがおありですか。	Do you have any children?
おもしろければどんな本でもかまいません。	Any book will do as long as it is amusing.
おもしろければどんな本でもいいですよ。	If it is interesting, any book will do.
おもしろいならどんな本でもよい。	Any book will do, so long as it is interesting.
おまえの目はいったいどこについているんだ。	What are you eyeing?
おくびにも出すな。	Don't breathe a word of it to anyone.
いとこたちは２、３日中にくるでしょう。	My cousins are coming in a few days.
いつ日本にいらっしゃったんですか。	When did you come to Japan?
いつまで日本にいるのですか。	Until when will you be in Japan?
いつお目にかかれますか。	When can I see you?
いずれは手をつけなければならないだろう。	I suppose I've got to get my feet wet sometime.
いい日ですね。	It's a nice day, isn't it?
いい子にしていればおいしいケーキをあげるよ。	If you are a good boy, you shall have a nice cake.
いい子にしていたら、あめをあげよう。	If you are a good girl, you shall have candy.
いい子だからねんねしなさいね。	Now be a good boy and go beddy-byes.
いいや。あいつは水がキライなんだ。	No. He doesn't like water!
アンはチョコレートに目がない。	Ann has a weakness for chocolate.
あれはあなたの本です。	That is your book.
あの本はどうしましたか。	What did you do with those books?
あの子はなんてうるさい子だろう。	What a nuisance that child is!
あの子はぼーっとしているようだ。	The kid looks blank.
あの子は手がかかる。	That boy is a handful.
あの子はなんていたずらなのだ。	What a little imp he is!
あの子はいつもニコニコしている。	She is always smiling.
あの子はしょうがない子だ。	That child is impossible.
あの子はあかだらけだ。	The child is dirty.
あの子はいつもだだをこねている。	That child is always fretting.
あの子にはうんざりする。	The kid is a pain in the neck.
あの犬はオスかメスか。	Is that dog male or female?
あの犬はいくつですか。	How old is that dog?
あのこは手におえない。	He is an unmanageable child.
あのいじめっ子を、やっつけておいで。	Go and beat up that bully.
あなたは正しいですか。	Are you correct?
あなたはヨハネの子シモンです。	You are Simon, son of John.
あなたはまったく正しい。	You are absolutely right.
あなたはどのくらい日本においでですか。	How long have you been in Japan?
あなたはすてきな子です。	You are a nice boy.
あなたは、手をあげなければならない。	You must hold up your hands.
あなたの本はどちらですか。	Which is your book?
あなたの本です。	Here is your book.
あなたの犬はどうしましたか。	What has become of your dog?
あなたに本をあげましょう。	I'll give you a book.
あなたにお目にかかれてうれしかったです、タモリさん。	It was a pleasure meeting you, Mr Tamori.
あなたにお目にかかれてうれしいです。	I'm happy to see you.
あなたがこれらのりんごをもいだ木がみたいものだ。	I would like to see the trees from which you picked these apples.
アイロンで手をやけどしました。	I burned my hand with an iron.
５月は４月のあとにくる。	May comes after April.
５０円です。	It's 50 yen.
５０００円ばかりもっている。	I have about 5,000 yen.
４月６日においでいただくのはどうでしょう。	We suggest April 6 as a date for your visit.
４０メートルに出る。	Run in the 40 meters.
２、３日ゆっくりするといいですよ。	A few days' rest will do you good.
２、３日もすればよくなるよ。	It'll pass in a few days.
１日中テニスをしていたのだから。	He was playing tennis all day.
１日ではたべきれないほどのリンゴがある。	We have more apples than we could eat in a day.
１日コースがありますか。	Do you have any day tours?
１月５日から１月１５日までおねがいします。	From the 5th to the 15th of January, please.
１０月３日です。	It's the third of October.
「ビルは日本にいましたか」「はい、いました」	"Was Bill in Japan?" "Yes, he was."
「それはいくらかかりましたか」「千円かかりました」	"How much did it cost?" "It cost me a thousand yen."
「いつも、そしていつまでもよ！」と小さい白いウサギはいいました。	"Forever and always!" replied the little white rabbit.
まー！このＴシャツ、3000円？！ぼったくりだわ。	What! This T-shirt is 3,000 yen? This is a rip-off!
かれは土に水をやった。	He watered the soil.
王子はその日、王になった。	The prince became a king that day.
その刀は王子にふさわしい。	That sword is fit for a prince.
