この新聞はロハだ。	This newspaper is free.
どうやってボンネットを開けるのですか。	How do I open the hood?
どうぞもっとゆっくり話してください。	Please speak more slowly.
どう、調子は？	What's happening?
テレビの調子がよくない。	There's nothing good on television.
できるかぎり話をはっきりさせよう。	We'll get this as clear as possible.
でかい顔してるじゃないか。	You're being bossy, aren't you?
ディナーはたいがいコーヒーで終わる。	Coffee finishes most dinners.
ちょっと話があります。	I have something to tell you.
ちょっと仕返ししてやった。	I got a little revenge on him.
ちょっとお話してもよろしいですか。	May I talk with you for a moment?
ちょっとお話したいのですけれど。	I'd like to speak to you for a moment.
ちょっとお話ししてもいいですか。	Can I have a word with you?
ちょっといっぱいやりながら話そう。	Let's have a talk over a couple of drinks.
ちょうどあなたのことをお話していたところです。	We were just talking about you.
だれと話していたのですか。	Who were you talking with?
だるいし頭がずきずきする。	I feel listless and have a throbbing headache.
タオルで顔をふきなさい。	Dry your face with a towel.
たいしたことではない、心配するな。	Never mind!
そんな話にだまされるなんて、よくよくおめでたいね。	You must be very simple to be taken in by such a story.
そんなつまらないことを心配するな。	Don't worry about such a silly thing.
そんなつまらないことで心配するな。	Don't worry about such a trifle.
そんなことを心配するな。	Don't worry about such a thing.
それを日本語でどういうのがわかりません。	I don't know how to put it in Japanese.
それは楽しみです。	I'll look forward to it.
それはつい最近のことです。	It happened quite recently.
それはたいへんな話だ。	That's quite a story.
それはあまりにもうますぎる話だ。	That's too good a story to be true.
それで最後だ！	That's the last straw!
それで間に合うでしょう。	That will do.
それではまるで話がちがう。	That's quite another thing to what you promised.
それが親ばかというものさ。	We parents sometimes become blind in loving our children too much.
ソファーに横になってもかまいませんか。	May I lie on the sofa?
その話はもうやめにしよう。	Let the matter drop.
その話はもうたくさんだ。	I've gadded enough of that story.
その話はここではタブーです。	The topic is taboo here.
その物語はハッピーエンドだ。	The story ends happily.
その物語はおなじみである。	The tale is familiar to us.
その病気はたいしたことにはならなかった。	The effects of the illness were not serious.
その調子でがんばって。	Keep it up.
その調子だよ。	That's the way.
その調子だ。	That's the spirit.
そのことを話してよ。	Tell me about it.
そのことを親にいってはいけないよ。	You mustn't tell that to your parents.
そのことは心配ないよ。	You can bet your boots on that.
そのことは心配するな。	Don't worry about that.
そのことについて心配するな。	Don't worry about it.
ソニアはおかしそうな顔をしていた。	Sonia had a very amused look on her face.
そう心配しなくてもいいよ。	You don't have to be so nervous.
そうそうその調子。	That a boy.
そういう話もあったな。	I guess there was some talk of that.
スポーツはからだの調子をよくする。	Sports keep us in good shape.
スペイン語が話せたらよかったのに。	I wish I could have spoken Spanish.
すでにお話しました。	I already told you.
すごく心配しました。	I was biting my nails, worrying about you.
ジルはかわいいだけでなく頭もよい。	Jill is smart as well as pretty.
ジョンはスコッチを、メアリーはバーボンを飲む。	John drinks Scotch and Mary bourbon.
ジョンとお話したいのですが。	Is John available now?
ジョン・ワーナーさんとお話ししたいのですが。	I'd like to speak to John Warner.
ジョージ、話がある。おっかさんがいるだろ。	George, I have something to tell you. You have a mother, don't you?
ジュディさんとお話したいのですが。	I'd like to speak to Judy.
ジャックは病気らしい。	It seems that Jack is sick.
ジャックはフランス語も話すことができる。	Jack can speak French.
ジャックはスペイン語も話すかもしれない。	Jack may speak Spanish, too.
ジム・ロビンソンとはいつからの知り合いですか。	How long have you known Jim Robinson?
ジェーンは歌うでしょうか。	Will Jane sing?
さあ話たまえ。	Now tell me.
さあ歌を歌いましょう。	Let's sing a song.
ご病気だったそうですね。	I hear you have been sick.
ご心配ありがとう。	Thank you for your concern.
コンサートに間に合うでしょうか。	Will we be in time for the concert?
これらのリンゴを運ぶためのカゴがほしい。	I want a basket in which to carry these apples.
これは頭にくる。	This is making me really angry.
これはマイクの自転車です。	This is Mike's bicycle.
これはここだけの話ですよ。	This is just among ourselves.
これはきみの自転車？	Is this your bike?
これにて終了。	The end, so long good bye!
これが最高。	This is much the best.
これが最後だから。	This is the last time.
こまはぐるぐる回転した。	The top went around and around.
この話はあれよりずっとおもしろい。	This story is by far more interesting than that one.
この線の終点はどこですか。	Where is the end of this line?
この歌を歌おうじゃないか。	Let's sing this song, shall we?
この歌を歌えますか。	Can you sing this song?
この歌をうたいましょう。	Let's sing this song, shall we?
この歌はラブソングです。	This song is a love song.
このところ調子はいかがですか。	How have you been getting on?
このデータを最終チェックしてもらえないか。	Could you give this data a final check for me?
ここまでやったんだから最後までやってしまおう。	As long as I've come this far, I'll see it through.
ここは病院だ。	This is a hospital.
ここだけの話なんだけど。	This is just between you and me.
ここだけの話だが。	This is just between you and me.
けってドアを開けるな。	Don't kick the door open.
くだらない話はもうたくさんだ。	We have had enough of empty words.
ギリギリのところで間に合う。	I just made it under the wire.
きみはひどい病気にかかるかもしれない。	You may get a serious disease.
きっとジムがその話をでっちあげたんだ。	I am sure that Jim made up that story.
かのじょはビールを飲むくせがついた。	She took to drinking beer.
カナダではフランス語を話しますか。	Do they speak French in Canada?
お話してもよいですか。	May I talk to you?
お話したいことがあります。	Can we talk?
お話させていただいてもよろしいでしょうか。	May I speak with you?
お話があるのですけど。	I have something to tell you.
お話があるのですが。	Can we have a talk?
お知り合いになれてうれしい。	I'm glad to meet you.
お知り合いなんですか。	Do you know each other?
お楽しみなのですね。	You're enjoying yourself.
おまえなんかに話すんじゃなかったよ。	I shouldn't have told you nothin'.
おじいさんはとてもゆっくりと話す。	Grandfather speaks very slowly.
エアコンの調子がおかしい。	The air conditioner doesn't work.
うかぬ顔をしているね。	You look gloomy.
いつ終わるの？	When does it end?
いい線いってるよ。	I think you're on the right track.
いい線いっていますよ。	It's going nicely!
いい顔になってきたね。	Like a good wine, he improves with age.
いいかげんな話はやめろ。	Don't give me that!
いいえ、歌いません。	No, I'm not singing.
アンは病気のようだ。	Ann seems to be ill.
あんなことをするなんて頭がどうかしている。	You've got to be crazy to do something like that.
あまり心配するとはげるよ。	Don't worry too much, or you'll go bald.
あなたは日本語を話しますか。	Do you speak Japanese?
あなたは頭がいい。	You are sharp.
あなたは歌を歌えます。	You can sing a song.
あなたは歌うつもりですか。	Are you going to sing?
あなたは運がいい。	You're in luck.
あなたはフランス語が話せますか。	Can you speak French?
あなたはどの新聞をとっていますか。	What papers do you take in?
あなたにお話するよいことがあります。	I have something good to tell you.
あなたにお話があるのですが。	I would like to tell you something.
あなたと話しあいたいことがあります。	There's something I need to talk with you about.
あなたとお話しできてうれしかったです。	Nice talking with you.
あなたとお話ししていいですか。	May I talk with you?
あなたとお話ししたいことがあるのですが。	May I have a talk with you?
あいつは、まったく頭にくるやつだ。	That guy really burns me up.
あいつには頭にきた！	I'm up to here with him!
ＡからＢまで線をひきなさい。	Draw a line from A to B.
最近どうだ？	How have you been recently?
心配しないで。	Don't worry.
なんで聞くの？	Why do you ask?
あつしは病気だったかもしれない。	Atsushi may have been sick.
